#Run #,beam species,pdg,beam energy (GeV),Voltage,Vbr,HG gain,LG HG,Xpos,Ypos
45,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
46,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
47,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
48,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
49,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
50,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
51,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
52,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
53,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
54,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
55,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
56,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
57,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
58,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
59,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
60,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
61,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
62,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
63,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
64,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
65,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
66,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
67,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
68,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
69,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
70,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
71,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
72,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
73,Muon +,-13,5,43,38.3,50,50,-2.5,2.5
77,Hadron +,2212,15,45,38.3,50,50,-2.5,2.5
78,Hadron +,2212,15,45,38.3,50,50,-2.5,2.5
162,Muon +,-13,5,45,38.3,50,50,0.0,0.0
163,Electron,11,5,45,38.3,50,50,0.0,0.0
164,Electron,11,5,45,38.3,50,50,0.0,0.0
165,Electron,11,5,45,38.3,50,50,0.0,0.0
166,Electron,11,5,45,38.3,50,50,0.0,0.0
167,Electron,11,5,45,38.3,50,50,0.0,0.0
168,Electron,11,5,45,38.3,50,50,0.0,0.0
169,Electron,11,5,45,38.3,50,50,0.0,0.0
170,Muon +,-13,5,45,38.3,50,50,0.0,0.0
171,Muon +,-13,5,45,38.3,50,50,0.0,0.0
172,Muon +,-13,5,45,38.3,50,50,0.0,0.0
173,Muon +,-13,5,45,38.3,50,50,0.0,0.0
174,Muon +,-13,5,45,38.3,50,50,0.0,0.0
175,Muon +,-13,5,45,38.3,50,50,0.0,0.0
176,Electron,11,1,45,38.3,50,50,0.0,0.0
177,Electron,11,1,45,38.3,50,50,0.0,0.0
178,Electron,11,1,45,38.3,50,50,0.0,0.0
179,Electron,11,2,45,38.3,50,50,0.0,0.0
180,Electron,11,2,45,38.3,50,50,0.0,0.0
181,Electron,11,2,45,38.3,50,50,0.0,0.0
182,Electron,11,2,45,38.3,50,50,0.0,0.0
183,Electron,11,2,45,38.3,50,50,0.0,0.0
184,Electron,11,2,45,38.3,50,50,0.0,0.0
185,Electron,11,3,45,38.3,50,50,0.0,0.0
186,Electron,11,3,45,38.3,50,50,0.0,0.0
187,Electron,11,3,45,38.3,50,50,0.0,0.0
188,Electron,11,3,45,38.3,50,50,0.0,0.0
189,Electron,11,2,45,38.3,50,50,0.0,0.0
190,Electron,11,3,45,38.3,50,50,0.0,0.0
191,Electron,11,3,45,38.3,50,50,0.0,0.0
192,Electron,11,3,45,38.3,50,50,0.0,0.0
193,Electron,11,3,45,38.3,50,50,0.0,0.0
194,Electron,11,3,45,38.3,50,50,0.0,0.0
195,Electron,11,3,45,38.3,50,50,0.0,0.0
196,Electron,11,3,45,38.3,50,50,0.0,0.0
197,Electron,11,3,45,38.3,50,50,0.0,0.0
198,Electron,11,3,45,38.3,50,50,0.0,0.0
212,Muon +,-13,5,45,38.3,50,50,0.0,0.0
213,Muon +,-13,5,45,38.3,50,50,5.0,0.0
244,Muon +,-13,5,45,38.3,50,50,-5.0,0.0
245,Muon +,-13,5,45,38.3,50,50,5.0,0.0
246,Muon +,-13,5,45,38.3,50,50,5.0,0.0
247,Muon +,-13,5,45,38.3,50,50,5.0,0.0
248,Muon +,-13,5,45,38.3,50,50,5.0,0.0
249,Muon +,-13,5,45,38.3,50,50,5.0,0.0
250,Muon +,-13,5,45,38.3,50,50,5.0,0.0
251,Electron,11,1,45,38.3,50,50,0.0,0.0
252,Electron,11,2,45,38.3,50,50,0.0,0.0
254,Electron,11,3,45,38.3,50,50,0.0,0.0
257,Electron,11,4,45,38.3,50,50,0.0,0.0
258,Electron,11,5,45,38.3,50,50,0.0,0.0
261,Pion -,-212,3,45,38.3,50,50,0.0,0.0
264,Pion -,-212,5,45,38.3,50,50,0.0,0.0
265,Pion -,-212,8,45,38.3,50,50,0.0,0.0
269,Pion -,-212,10,45,38.3,50,50,0.0,0.0
270,Hadron +,2212,5,45,38.3,50,50,0.0,0.0
271,pedestal,0,0,45,38.3,50,50,0.0,0.0
272,Hadron +,2212,8,45,38.3,50,50,0.0,0.0
273,Hadron +,2212,10,45,38.3,50,50,0.0,0.0
274,Hadron +,2212,10,45,38.3,50,50,0.0,0.0
275,Hadron +,2212,15,45,38.3,50,50,0.0,0.0
276,pedestal,0,0,45,38.3,50,50,0.0,0.0
277,pedestal,0,0,45,38.3,50,50,0.0,0.0
282,Muon +,-13,5,45,38.3,50,50,-5.0,0.0
283,Muon +,-13,5,45,38.3,50,50,5.0,0.0
285,Muon +,-13,5,45,38.3,50,50,0.0,0.0
286,Muon +,-13,5,45,38.3,50,50,0.0,0.0
291,Muon +,-13,5,45,38.3,50,50,0.0,0.0
295,Muon +,-13,5,45,38.3,50,50,0.0,0.0
296,Muon +,-13,5,45,38.3,50,50,0.0,0.0
297,Muon +,-13,5,45,38.3,50,50,0.0,0.0
298,Muon +,-13,5,45,38.3,50,50,0.0,0.0
299,Muon +,-13,5,45,38.3,50,50,0.0,0.0
300,pedestal,0,0,45,38.3,50,50,0.0,0.0
302,Muon +,-13,5,45,38.3,50,50,0.0,0.0
303,pedestal,0,0,44,38.3,50,50,0.0,0.0
305,Muon +,-13,5,44,38.3,50,50,0.0,0.0
306,pedestal,0,0,43,38.3,50,50,0.0,0.0
307,Muon +,-13,5,43,38.3,50,50,0.0,0.0
308,pedestal,0,0,42,38.3,50,50,0.0,0.0
309,Muon +,-13,5,42,38.3,50,50,0.0,0.0
311,pedestal,0,0,41,38.3,50,50,0.0,0.0
312,Muon +,-13,5,41,38.3,50,50,0.0,0.0
315,pedestal,0,0,40,38.3,50,50,0.0,0.0
316,Muon +,-13,5,40,38.3,50,50,0.0,0.0
322,Muon +,-13,5,42,38.3,50,50,5.0,0.0
331,Muon +,-13,5,42,38.3,50,50,-5.0,0.0
332,pedestal,0,0,42,38.3,50,50,-5.0,0.0
333,Electron,11,1,42,38.3,50,50,0.0,0.0
334,Electron,11,2,42,38.3,50,50,0.0,0.0
336,Electron,11,3,42,38.3,50,50,0.0,0.0
337,Electron,11,4,42,38.3,50,50,0.0,0.0
338,Electron,11,5,42,38.3,50,50,0.0,0.0
340,Pion -,-212,3,42,38.3,50,50,0.0,0.0
345,Pion -,-212,5,42,38.3,50,50,0.0,0.0
346,Pion -,-212,5,42,38.3,50,50,0.0,0.0
349,Pion -,-212,3,42,38.3,50,50,0.0,0.0
350,Pion -,-212,8,42,38.3,50,50,0.0,0.0
357,Pion -,-212,10,42,38.3,50,50,0.0,0.0
360,Hadron +,2212,5,42,38.3,50,50,0.0,0.0
362,Hadron +,2212,8,42,38.3,50,50,0.0,0.0
367,Hadron +,2212,10,42,38.3,50,50,0.0,0.0
368,Hadron +,2212,15,42,38.3,50,50,0.0,0.0
369,pedestal,0,0,42,38.3,50,50,0.0,0.0
370,Muon +,-13,5,42,38.3,50,50,-5.0,0.0
371,Muon +,-13,5,42,38.3,50,50,-5.0,0.0
374,Muon +,-13,5,42,38.3,50,50,5.0,0.0
375,Muon +,-13,5,43.5,38.3,50,50,5.0,0.0
376,Muon +,-13,5,43.5,38.3,50,50,-5.0,0.0
377,pedestal,0,0,43.5,38.3,50,50,-5.0,0.0
378,Electron,11,1,43.5,38.3,50,50,0.0,0.0
379,Electron,11,1,43.5,38.3,50,50,0.0,0.0
380,Electron,11,2,43.5,38.3,50,50,0.0,0.0
381,Electron,11,3,43.5,38.3,50,50,0.0,0.0
384,Electron,11,4,43.5,38.3,50,50,0.0,0.0
387,Electron,11,5,43.5,38.3,50,50,0.0,0.0
390,Pion -,-212,3,43.5,38.3,50,50,0.0,0.0
392,Pion -,-212,5,43.5,38.3,50,50,0.0,0.0
393,Pion -,-212,8,43.5,38.3,50,50,0.0,0.0
394,Pion -,-212,10,43.5,38.3,50,50,0.0,0.0
397,Hadron +,2212,5,43.5,38.3,50,50,0.0,0.0
398,Hadron +,2212,8,43.5,38.3,50,50,0.0,0.0
399,Hadron +,2212,10,43.5,38.3,50,50,0.0,0.0
401,Hadron +,2212,15,43.5,38.3,50,50,0.0,0.0
402,pedestal,0,0,43.5,38.3,50,50,0.0,0.0
403,pedestal,0,0,43.5,38.3,50,50,0.0,0.0
404,pedestal,0,0,43.5,38.3,50,50,0.0,0.0
405,Muon +,-13,5,43.5,38.3,50,50,0.0,0.0
408,Muon +,-13,5,43.5,38.3,50,50,5.0,0.0
410,Muon +,-13,5,43.5,38.3,50,50,-5.0,0.0
412,Muon +,-13,5,45,38.3,50,50,-5.0,0.0
417,Muon +,-13,5,45,38.3,50,50,5.0,0.0
420,pedestal,0,0,45,38.3,50,50,5.0,0.0
421,Electron,11,1,45,38.3,50,50,0.0,0.0
422,Electron,11,2,45,38.3,50,50,0.0,0.0
429,Electron,11,3,45,38.3,50,50,0.0,0.0
430,Electron,11,4,45,38.3,50,50,0.0,0.0
432,Electron,11,5,45,38.3,50,50,0.0,0.0
434,Pion -,-212,3,45,38.3,50,50,2.0,-1.5
437,Pion -,-212,5,45,38.3,50,50,2.0,-1.5
439,Pion -,-212,8,45,38.3,50,50,2.0,-1.5
441,Pion -,-212,10,45,38.3,50,50,2.0,-1.5
444,Hadron +,2212,5,45,38.3,50,50,2.0,-1.5
446,Hadron +,2212,8,45,38.3,50,50,2.0,-1.5
449,Hadron +,2212,10,45,38.3,50,50,2.0,-1.5
452,Hadron +,2212,15,45,38.3,50,50,2.0,-1.5
454,pedestal,0,0,45,38.3,50,50,0.0,0.0
455,Muon +,-13,5,45,38.3,50,50,5.0,0.0
456,Muon +,-13,5,45,38.3,50,50,5.0,0.0
457,Muon +,-13,5,45,38.3,50,50,5.0,0.0
460,Muon +,-13,5,45,38.3,50,50,-5.0,0.0
463,Muon +,-13,5,40,38.3,50,50,-2.5,0.0
464,Muon +,-13,5,40,38.3,50,50,2.5,0.0
465,pedestal,0,0,40,38.3,50,50,0.0,0.0
466,Electron,11,1,40,38.3,50,50,0.0,0.0
467,Electron,11,2,40,38.3,50,50,0.0,0.0
468,Electron,11,3,40,38.3,50,50,0.0,0.0
471,Electron,11,4,40,38.3,50,50,0.0,0.0
472,Electron,11,5,40,38.3,50,50,0.0,0.0
476,pedestal,0,0,40,38.3,50,50,0.0,0.0
478,Muon +,-13,5,40,38.3,50,50,0.0,0.0
481,Muon +,-13,5,40,38.3,50,50,-2.5,0.0
486,Muon +,-13,5,41,38.3,50,50,-2.5,0.0
489,Muon +,-13,5,41,38.3,50,50,2.5,0.0
492,pedestal,0,0,41,38.3,50,50,0.0,0.0
494,Electron,11,1,41,38.3,50,50,0.0,0.0
495,Electron,11,2,41,38.3,50,50,0.0,0.0
497,Electron,11,3,41,38.3,50,50,0.0,0.0
502,Electron,11,4,41,38.3,50,50,0.0,0.0
504,Electron,11,5,41,38.3,50,50,0.0,0.0
505,pedestal,0,0,41,38.3,50,50,0.0,0.0
506,Muon +,-13,5,41,38.3,50,50,2.5,0.0
507,Muon +,-13,5,41,38.3,50,50,-2.5,0.0
508,Muon +,-13,5,46,38.3,50,50,-5.0,0.0
510,Muon +,-13,5,46,38.3,50,50,5.0,0.0
511,Muon +,-13,5,46,38.3,50,50,0.0,0.0
512,Electron,11,1,46,38.3,50,50,0.0,0.0
513,Electron,11,1,46,38.3,50,50,0.0,0.0
514,Electron,11,2,46,38.3,50,50,0.0,0.0
515,Electron,11,3,46,38.3,50,50,0.0,0.0
516,Electron,11,3,46,38.3,50,50,0.0,0.0
517,Electron,11,4,46,38.3,50,50,0.0,0.0
518,Electron,11,5,46,38.3,50,50,0.0,0.0
519,Electron,11,5,46,38.3,50,50,0.0,0.0
520,Electron,11,5,46,38.3,50,50,0.0,0.0
521,pedestal,0,0,46,38.3,50,50,0.0,0.0
524,Muon +,-13,5,46,38.3,50,50,5.0,0.0
525,Muon +,-13,5,46,38.3,50,50,-5.0,0.0
526,Muon +,-13,5,45,38.3,50,50,-5.0,0.0
527,Muon +,-13,5,45,38.3,50,50,5.0,0.0
528,pedestal,0,0,45,38.3,50,50,0.0,0.0
529,Electron,11,1,45,38.3,50,50,0.0,0.0
530,Electron,11,2,45,38.3,50,50,0.0,0.0
533,Electron,11,2,45,38.3,50,50,0.0,0.0
535,Electron,11,3,45,38.3,50,50,0.0,0.0
538,Electron,11,4,45,38.3,50,50,0.0,0.0
541,Electron,11,5,45,38.3,50,50,0.0,0.0
542,Pion -,-212,3,45,38.3,50,50,-2.0,-1.5
543,Pion -,-212,5,45,38.3,50,50,-2.0,-1.5
544,Pion -,-212,8,45,38.3,50,50,-2.0,-1.5
545,Pion -,-212,10,45,38.3,50,50,-2.0,-1.5
548,Hadron +,2212,5,45,38.3,50,50,-2.0,-1.5
549,Hadron +,2212,8,45,38.3,50,50,-2.0,-1.5
550,Hadron +,2212,10,45,38.3,50,50,-2.0,-1.5
551,Hadron +,2212,15,45,38.3,50,50,-2.0,-1.5
552,pedestal,0,0,45,38.3,50,50,-2.0,-1.5
553,pedestal,0,0,45,38.3,50,50,-2.0,-1.5
554,Muon +,-13,5,45,38.3,50,50,-2.5,0.0
559,Muon +,-13,5,45,38.3,50,50,2.5,0.0
